No	Protein	Protein	Class
106	CG10209	CG3174	1
107	CG10209	CG33103	1
108	CG10212	CG17785	1
109	CG10212	CG3911	1
110	CG10214	CG7222	1
111	CG10215	CG11164	1
112	CG10215	CG17158	1
113	CG10215	CG33052	1
114	CG10215	CG3697	1
115	CG10219	CG1416	1
116	CG10219	CG1660	1
117	CG10219	CG6524	1
118	CG10219	CG9035	1
119	CG10222	CG32683	1
120	CG10231	CG6864	1
121	CG10236	CG2540	1
122	CG10236	CG4216	1
123	CG10236	CG8793	1
124	CG10237	CG4840	1
125	CG10237	CG9796	1
126	CG10238	CG13090	1
127	CG10252	CG1486	1
128	CG10252	CG3792	1
129	CG10257	CG9242	1
130	CG10263	CG10387	1
131	CG10263	CG10480	1
132	CG10263	CG10523	1
133	CG10263	CG10527	1
134	CG10263	CG10710	1
135	CG10263	CG10948	1
136	CG10263	CG1104	1
137	CG10263	CG12548	1
138	CG10263	CG1314	1
139	CG10263	CG13281	1
140	CG10263	CG13311	1
141	CG10263	CG13630	1
142	CG10263	CG14696	1
143	CG10263	CG14805	1
144	CG10263	CG1502	1
145	CG10263	CG15167	1
146	CG10263	CG15865	1
147	CG10263	CG17025	1
148	CG10263	CG17510	1
149	CG10263	CG18135	1
150	CG10263	CG18496	1
151	CG10263	CG2261	1
152	CG10263	CG2865	1
153	CG10263	CG3021	1
154	CG10263	CG31869	1
155	CG10263	CG31999	1
156	CG10263	CG32264	1
157	CG10263	CG32425	1
158	CG10263	CG3308	1
159	CG10263	CG3496	1
160	CG10263	CG3689	1
161	CG10263	CG4216	1
162	CG10263	CG4778	1
163	CG10263	CG5380	1
164	CG10263	CG5576	1
165	CG10263	CG5709	1
166	CG10263	CG6378	1
167	CG10263	CG6459	1
168	CG10263	CG7787	1
169	CG10263	CG7997	1
170	CG10263	CG9060	1
171	CG10281	CG5258	1
172	CG10302	CG17158	1
173	CG10305	CG10510	1
174	CG10305	CG11181	1
175	CG10305	CG13287	1
176	CG10305	CG13576	1
177	CG10305	CG14543	1
178	CG10305	CG1528	1
179	CG10305	CG16747	1
180	CG10305	CG3880	1
181	CG10305	CG4167	1
182	CG10305	CG4887	1
183	CG10305	CG6310	1
184	CG10305	CG8230	1
185	CG10305	CG8487	1
186	CG10305	CG9415	1
187	CG10305	CG9986	1
188	CG10306	CG30084	1
189	CG10306	CG5642	1
190	CG10306	CG6775	1
191	CG10308	CG4877	1
192	CG10308	CG7518	1
193	CG10311	CG12746	1
194	CG10311	CG31643	1
195	CG10315	CG2677	1
196	CG10324	CG3019	1
197	CG10324	CG6340	1
198	CG10324	CG6843	1
199	CG10326	CG12721	1
200	CG10326	CG1417	1
201	CG10335	CG14666	1
202	CG10336	CG7191	1
203	CG10341	CG5519	1
204	CG10343	CG12958	1
205	CG10346	CG11248	1
206	CG10346	CG7210	1
207	CG10346	CG7352	1
208	CG10363	CG31163	1
209	CG10363	CG4841	1
210	CG10363	CG7182	1
211	CG10364	CG12363	1
212	CG10364	CG12775	1
213	CG10364	CG14025	1
214	CG10364	CG16853	1
215	CG10364	CG2168	1
216	CG10364	CG2233	1
217	CG10364	CG30011	1
218	CG10364	CG3186	1
219	CG10364	CG7283	1
220	CG10364	CG8975	1
221	CG10364	CG9091	1
222	CG10373	CG1391	1
223	CG10373	CG6707	1
224	CG10373	CG8248	1
225	CG10373	CG9543	1
226	CG10373	CG9653	1
227	CG10385	CG11539	1
228	CG10387	CG10652	1
229	CG10387	CG11181	1
230	CG10387	CG11227	1
231	CG10387	CG1391	1
232	CG10387	CG14297	1
233	CG10387	CG15811	1
234	CG10387	CG17050	1
235	CG10387	CG18734	1
236	CG10387	CG3213	1
237	CG10387	CG32647	1
238	CG10387	CG3557	1
239	CG10387	CG3929	1
240	CG10387	CG4959	1
241	CG10387	CG8216	1
242	CG10387	CG8383	1
243	CG10387	CG9938	1
244	CG10392	CG10523	1
245	CG10392	CG10664	1
246	CG10392	CG31175	1
247	CG10392	CG31635	1
248	CG10392	CG33141	1
249	CG10392	CG5709	1
250	CG10392	CG6416	1
251	CG10392	CG6843	1
252	CG10392	CG8725	1
253	CG10395	CG10694	1
254	CG10395	CG1104	1
255	CG10395	CG11427	1
256	CG10395	CG13022	1
257	CG10395	CG14025	1
258	CG10395	CG14549	1
259	CG10395	CG18398	1
260	CG10395	CG33067	1
261	CG10395	CG6380	1
262	CG10395	CG7424	1
263	CG10395	CG9331	1
264	CG10406	CG9986	1
265	CG10414	CG9734	1
266	CG10415	CG1276	1
267	CG10415	CG15293	1
268	CG10418	CG4279	1
269	CG10419	CG16725	1
270	CG10419	CG7231	1
271	CG10423	CG11427	1
272	CG10423	CG14044	1
273	CG10423	CG5662	1
274	CG10424	CG11183	1
275	CG10436	CG32016	1
276	CG10463	CG32183	1
277	CG10470	CG9511	1
278	CG10479	CG7238	1
279	CG10480	CG11899	1
280	CG10480	CG13005	1
281	CG10480	CG2865	1
282	CG10480	CG31999	1
283	CG10484	CG14145	1
284	CG10486	CG7726	1
285	CG10489	CG11555	1
286	CG10489	CG4087	1
287	CG1049	CG6519	1
288	CG10494	CG4159	1
289	CG10494	CG4617	1
290	CG10494	CG5681	1
291	CG10510	CG10602	1
292	CG10510	CG15124	1
293	CG10510	CG1591	1
294	CG10510	CG17387	1
295	CG10510	CG17520	1
296	CG10510	CG2674	1
297	CG10510	CG2774	1
298	CG10510	CG5642	1
299	CG10510	CG6398	1
300	CG10510	CG6519	1
301	CG10510	CG8282	1
302	CG10510	CG8479	1
303	CG10520	CG14225	1
304	CG10522	CG4795	1
305	CG10523	CG12860	1
306	CG10523	CG13159	1
307	CG10523	CG5134	1
308	CG10523	CG9653	1
309	CG10527	CG11164	1
310	CG10527	CG13928	1
311	CG10527	CG17903	1
312	CG10527	CG2099	1
313	CG10528	CG2709	1
314	CG10528	CG5089	1
315	CG10528	CG5792	1
316	CG10535	CG12985	1
317	CG10535	CG30393	1
318	CG10540	CG15710	1
319	CG10540	CG17158	1
320	CG10540	CG5315	1
321	CG10566	CG14792	1
322	CG10566	CG31999	1
323	CG10570	CG1461	1
324	CG10570	CG9578	1
325	CG10570	CG9665	1
326	CG10573	CG8407	1
327	CG10575	CG3953	1
328	CG10575	CG9986	1
329	CG10581	CG31196	1
330	CG10582	CG5147	1
331	CG10585	CG8247	1
332	CG10589	CG3832	1
333	CG1059	CG9480	1
334	CG10594	CG15042	1
335	CG10594	CG5820	1
336	CG10596	CG11380	1
337	CG10596	CG13907	1
338	CG10600	CG15771	1
339	CG10600	CG7605	1
340	CG10602	CG18806	1
341	CG10602	CG31363	1
342	CG10610	CG18259	1
343	CG10616	CG4955	1
344	CG10616	CG9242	1
345	CG10620	CG32264	1
346	CG10631	CG12958	1
347	CG10635	CG10914	1
348	CG10635	CG15468	1
349	CG1064	CG11314	1
350	CG1064	CG12175	1
351	CG1064	CG12835	1
352	CG1064	CG12985	1
353	CG1064	CG13165	1
354	CG1064	CG13728	1
355	CG1064	CG1391	1
356	CG1064	CG1461	1
357	CG1064	CG14939	1
358	CG1064	CG15151	1
359	CG1064	CG15482	1
360	CG1064	CG15646	1
361	CG1064	CG1641	1
362	CG1064	CG18259	1
363	CG1064	CG2168	1
364	CG1064	CG3027	1
365	CG1064	CG31163	1
366	CG1064	CG3825	1
367	CG1064	CG3929	1
368	CG1064	CG4303	1
369	CG1064	CG7352	1
370	CG1064	CG9665	1
371	CG10640	CG11672	1
372	CG10640	CG3075	1
373	CG10640	CG31052	1
374	CG10645	CG7705	1
375	CG10645	CG9986	1
376	CG10650	CG10852	1
377	CG10650	CG10989	1
378	CG10650	CG11676	1
379	CG10650	CG13785	1
380	CG10650	CG13840	1
381	CG10650	CG15109	1
382	CG10650	CG15771	1
383	CG10650	CG3081	1
384	CG10650	CG31006	1
385	CG10650	CG32705	1
386	CG10650	CG4798	1
387	CG10650	CG5923	1
388	CG10650	CG5933	1
389	CG10650	CG7835	1
390	CG10650	CG9312	1
391	CG10651	CG2079	1
392	CG10652	CG32016	1
393	CG10652	CG4167	1
394	CG10653	CG11990	1
395	CG10653	CG12958	1
396	CG10653	CG14556	1
397	CG10653	CG15071	1
398	CG10653	CG16719	1
399	CG10653	CG3610	1
400	CG10653	CG8383	1
401	CG10664	CG4778	1
402	CG10664	CG5642	1
403	CG10671	CG5134	1
404	CG10671	CG7570	1
405	CG10674	CG1544	1
406	CG10680	CG18408	1
407	CG10681	CG1091	1
408	CG10681	CG30077	1
409	CG10681	CG5341	1
410	CG10681	CG9201	1
411	CG10683	CG16721	1
412	CG10683	CG3250	1
413	CG10683	CG32809	1
414	CG10683	CG3929	1
415	CG10683	CG4832	1
416	CG10691	CG32705	1
417	CG10691	CG7605	1
418	CG10692	CG15323	1
419	CG10694	CG11181	1
420	CG10694	CG12728	1
421	CG10694	CG2109	1
422	CG10694	CG3321	1
423	CG10694	CG4303	1
424	CG10694	CG6755	1
425	CG10694	CG7757	1
426	CG10694	CG8436	1
427	CG10695	CG11896	1
428	CG10695	CG12692	1
429	CG10695	CG17255	1
430	CG10695	CG33209	1
431	CG10695	CG4887	1
432	CG10695	CG5445	1
433	CG10695	CG6511	1
434	CG10695	CG8086	1
435	CG10701	CG32654	1
436	CG10710	CG11796	1
437	CG10710	CG5792	1
438	CG10710	CG9511	1
439	CG10711	CG14750	1
440	CG10711	CG5585	1
441	CG10712	CG15356	1
442	CG10712	CG8230	1
443	CG10712	CG9232	1
444	CG10713	CG4167	1
445	CG10721	CG1503	1
446	CG10721	CG15693	1
447	CG10721	CG3724	1
448	CG10721	CG4045	1
449	CG10721	CG4293	1
450	CG10721	CG4533	1
451	CG10726	CG6544	1
452	CG10732	CG7571	1
453	CG10733	CG16972	1
454	CG10739	CG17521	1
455	CG10746	CG12081	1
456	CG10746	CG14079	1
457	CG10746	CG15871	1
458	CG10756	CG4079	1
459	CG10757	CG12081	1
460	CG10789	CG31640	1
461	CG10794	CG15185	1
462	CG10798	CG11248	1
463	CG10798	CG14166	1
464	CG10798	CG1681	1
465	CG10798	CG17143	1
466	CG10800	CG12227	1
467	CG10800	CG12673	1
468	CG10800	CG14121	1
469	CG10800	CG3448	1
470	CG10800	CG4079	1
471	CG10811	CG6147	1
472	CG10811	CG8268	1
473	CG10822	CG3085	1
474	CG10822	CG7231	1
475	CG10825	CG13407	1
476	CG10840	CG3081	1
477	CG10846	CG11248	1
478	CG10846	CG12297	1
479	CG10846	CG13081	1
480	CG10846	CG17347	1
481	CG10846	CG17652	1
482	CG10846	CG3203	1
483	CG10846	CG4832	1
484	CG10846	CG5820	1
485	CG10846	CG8206	1
486	CG10846	CG8359	1
487	CG10855	CG12227	1
488	CG10855	CG8979	1
489	CG1088	CG11176	1
490	CG1088	CG16826	1
491	CG1088	CG17332	1
492	CG1088	CG18584	1
493	CG1088	CG4800	1
494	CG10882	CG12157	1
495	CG10882	CG15344	1
496	CG10882	CG31460	1
497	CG10882	CG33103	1
498	CG10882	CG8199	1
499	CG10887	CG12674	1
500	CG10889	CG2096	1
501	CG10897	CG6843	1
502	CG10901	CG15185	1
503	CG10901	CG18398	1
504	CG10903	CG9527	1
505	CG10909	CG11148	1
506	CG1091	CG11327	1
507	CG1091	CG12589	1
508	CG1091	CG14632	1
509	CG1091	CG16725	1
510	CG1091	CG17143	1
511	CG1091	CG2709	1
512	CG1091	CG9772	1
513	CG10917	CG11092	1
514	CG1092	CG8187	1
515	CG10922	CG13474	1
516	CG10922	CG1475	1
517	CG10922	CG17158	1
518	CG10922	CG8610	1
519	CG10927	CG33129	1
520	CG10927	CG6020	1
521	CG10943	CG11164	1
522	CG10943	CG12767	1
523	CG10943	CG16747	1
524	CG10943	CG2023	1
525	CG10943	CG2109	1
526	CG10943	CG30183	1
527	CG10943	CG32955	1
528	CG10943	CG8282	1
529	CG10943	CG8808	1
530	CG10944	CG11327	1
531	CG10944	CG1135	1
532	CG10944	CG30115	1
533	CG10944	CG7146	1
534	CG10944	CG8075	1
535	CG10944	CG8414	1
536	CG10948	CG1168	1
537	CG10948	CG11711	1
538	CG10948	CG15710	1
539	CG10948	CG3081	1
540	CG10948	CG31175	1
541	CG10950	CG6510	1
542	CG10954	CG15136	1
543	CG10955	CG13889	1
544	CG10955	CG18591	1
545	CG10978	CG16853	1
546	CG10988	CG11271	1
547	CG10988	CG9850	1
548	CG10989	CG6202	1
549	CG10990	CG12363	1
550	CG10990	CG12985	1
551	CG10990	CG15646	1
552	CG10990	CG4303	1
553	CG10990	CG9796	1
554	CG10992	CG13630	1
555	CG10992	CG9163	1
556	CG10996	CG9614	1
557	CG11006	CG1104	1
558	CG11006	CG13476	1
559	CG11006	CG15422	1
560	CG11006	CG17271	1
561	CG11006	CG3114	1
562	CG11007	CG12081	1
563	CG11007	CG6608	1
564	CG11008	CG9790	1
565	CG11025	CG11409	1
566	CG11029	CG2713	1
567	CG11033	CG12673	1
568	CG1104	CG11525	1
569	CG1104	CG1746	1
570	CG1104	CG1883	1
571	CG1104	CG2713	1
572	CG1104	CG32950	1
573	CG1104	CG3938	1
574	CG1104	CG4087	1
575	CG1104	CG5820	1
576	CG1104	CG6046	1
577	CG1104	CG6707	1
578	CG1104	CG6846	1
579	CG1104	CG7808	1
580	CG1104	CG9238	1
581	CG11051	CG6510	1
582	CG11051	CG9473	1
583	CG11055	CG17018	1
584	CG11055	CG32647	1
585	CG11055	CG6766	1
586	CG11055	CG7570	1
587	CG11061	CG11148	1
588	CG11061	CG13476	1
589	CG11061	CG1391	1
590	CG11061	CG1422	1
591	CG11061	CG1474	1
592	CG11061	CG15011	1
593	CG11061	CG15697	1
594	CG11061	CG17050	1
595	CG11061	CG17776	1
596	CG11061	CG18362	1
597	CG11061	CG3001	1
598	CG11061	CG3081	1
599	CG11061	CG33208	1
600	CG11061	CG3880	1
601	CG11061	CG6073	1
602	CG11061	CG8965	1
603	CG11061	CG9306	1
604	CG11064	CG3612	1
605	CG11064	CG4167	1
606	CG11068	CG11448	1
607	CG11076	CG11213	1
608	CG11076	CG13022	1
609	CG11076	CG14549	1
610	CG11076	CG15308	1
611	CG11076	CG33129	1
612	CG11076	CG3769	1
613	CG11076	CG8173	1
614	CG11076	CG8292	1
615	CG11076	CG9890	1
616	CG11086	CG7911	1
617	CG11092	CG17903	1
618	CG11092	CG3612	1
619	CG11092	CG4104	1
620	CG1112	CG4863	1
621	CG11120	CG31363	1
622	CG11127	CG2023	1
623	CG11127	CG9986	1
624	CG11132	CG1968	1
625	CG11133	CG4771	1
626	CG11134	CG30089	1
627	CG11140	CG11699	1
628	CG11140	CG12399	1
629	CG11140	CG9392	1
630	CG11145	CG9511	1
631	CG11148	CG13576	1
632	CG11148	CG6950	1
633	CG1116	CG1851	1
634	CG11164	CG11173	1
635	CG11164	CG11347	1
636	CG11164	CG11656	1
637	CG11164	CG12399	1
638	CG11164	CG12985	1
639	CG11164	CG13317	1
640	CG11164	CG1363	1
641	CG11164	CG13687	1
642	CG11164	CG14512	1
643	CG11164	CG14692	1
644	CG11164	CG1474	1
645	CG11164	CG14806	1
646	CG11164	CG15167	1
647	CG11164	CG15180	1
648	CG11164	CG15292	1
649	CG11164	CG15646	1
650	CG11164	CG15669	1
651	CG11164	CG16790	1
652	CG11164	CG17153	1
653	CG11164	CG17776	1
654	CG11164	CG1888	1
655	CG11164	CG2079	1
656	CG11164	CG2194	1
657	CG11164	CG2984	1
658	CG11164	CG31122	1
659	CG11164	CG31196	1
660	CG11164	CG31247	1
661	CG11164	CG32809	1
662	CG11164	CG33070	1
663	CG11164	CG3918	1
664	CG11164	CG4057	1
665	CG11164	CG4071	1
666	CG11164	CG4634	1
667	CG11164	CG4968	1
668	CG11164	CG5199	1
669	CG11164	CG5446	1
670	CG11164	CG5984	1
671	CG11164	CG6353	1
672	CG11164	CG6378	1
673	CG11164	CG6380	1
674	CG11164	CG6393	1
675	CG11164	CG6416	1
676	CG11164	CG6843	1
677	CG11164	CG7856	1
678	CG11164	CG8386	1
679	CG11164	CG8857	1
680	CG11164	CG9192	1
681	CG11164	CG9212	1
682	CG11164	CG9238	1
683	CG11164	CG9473	1
684	CG11172	CG3880	1
685	CG11173	CG14145	1
686	CG11173	CG15442	1
687	CG11173	CG15693	1
688	CG11173	CG17246	1
689	CG11173	CG2715	1
690	CG11173	CG30291	1
691	CG11173	CG31136	1
692	CG11173	CG5939	1
693	CG11173	CG6625	1
694	CG11173	CG7758	1
695	CG11173	CG9415	1
696	CG11176	CG5345	1
697	CG11176	CG5630	1
698	CG11180	CG14302	1
699	CG11180	CG31122	1
700	CG11180	CG8884	1
701	CG11181	CG15771	1
702	CG11181	CG1841	1
703	CG11181	CG2865	1
704	CG11181	CG2944	1
705	CG11181	CG4863	1
706	CG11181	CG5274	1
707	CG11181	CG7911	1
708	CG11181	CG8808	1
709	CG11181	CG9163	1
710	CG11183	CG5345	1
711	CG11183	CG9821	1
712	CG1120	CG4785	1
713	CG1120	CG5062	1
714	CG1120	CG5274	1
715	CG1120	CG7757	1
716	CG1120	CG9131	1
717	CG11200	CG8191	1
718	CG11201	CG9232	1
719	CG11205	CG2925	1
720	CG11212	CG18090	1
721	CG11213	CG11271	1
722	CG11213	CG13272	1
723	CG11213	CG13458	1
724	CG11213	CG13614	1
725	CG11213	CG13728	1
726	CG11213	CG17520	1
727	CG11213	CG2261	1
728	CG11213	CG3114	1
729	CG11213	CG31738	1
730	CG11213	CG3193	1
731	CG11213	CG5920	1
732	CG11213	CG6238	1
733	CG11213	CG6779	1
734	CG11213	CG7017	1
735	CG11213	CG7057	1
736	CG11213	CG7611	1
737	CG11213	CG8427	1
738	CG11213	CG9467	1
739	CG11230	CG16747	1
740	CG11230	CG18545	1
741	CG11230	CG31847	1
742	CG11230	CG6481	1
743	CG11230	CG7176	1
744	CG11230	CG9238	1
745	CG11248	CG13476	1
746	CG11248	CG15011	1
747	CG11248	CG1591	1
748	CG11248	CG18362	1
749	CG11248	CG31475	1
750	CG11248	CG3193	1
751	CG11248	CG5062	1
752	CG11248	CG8065	1
753	CG11248	CG8086	1
754	CG11248	CG8274	1
755	CG11248	CG8851	1
756	CG11248	CG8965	1
757	CG11248	CG9911	1
758	CG11249	CG11380	1
759	CG11249	CG1391	1
760	CG11249	CG18042	1
761	CG11254	CG18584	1
762	CG11254	CG9911	1
763	CG1126	CG5725	1
764	CG11267	CG8187	1
765	CG11268	CG13535	1
766	CG11268	CG13689	1
767	CG11268	CG15908	1
768	CG11269	CG13272	1
769	CG11271	CG11648	1
770	CG11271	CG18616	1
771	CG11271	CG2865	1
772	CG11271	CG32705	1
773	CG11271	CG33141	1
774	CG11271	CG4832	1
775	CG11271	CG5099	1
776	CG11271	CG7173	1
777	CG11271	CG7570	1
778	CG11271	CG8292	1
779	CG11276	CG6196	1
780	CG11276	CG6950	1
781	CG11276	CG7146	1
782	CG11286	CG9578	1
783	CG11293	CG3081	1
784	CG11295	CG3953	1
785	CG11299	CG13951	1
786	CG11299	CG15080	1
787	CG11299	CG7958	1
788	CG11305	CG12985	1
789	CG11305	CG15224	1
790	CG11306	CG32096	1
791	CG11309	CG12743	1
792	CG11312	CG17369	1
793	CG11312	CG3048	1
794	CG11314	CG13138	1
795	CG11314	CG15016	1
796	CG11314	CG15067	1
797	CG11314	CG9632	1
798	CG11327	CG12079	1
799	CG11327	CG12194	1
800	CG11327	CG13893	1
801	CG11327	CG14694	1
802	CG11327	CG14993	1
803	CG11327	CG1504	1
804	CG11327	CG16984	1
805	CG11327	CG17287	1
806	CG11327	CG17342	1
807	CG11327	CG17746	1
808	CG11327	CG2124	1
809	CG11327	CG2183	1
810	CG11327	CG30019	1
811	CG11327	CG31676	1
812	CG11327	CG3314	1
813	CG11327	CG3579	1
814	CG11327	CG4299	1
815	CG11327	CG4554	1
816	CG11327	CG4603	1
817	CG11327	CG5288	1
818	CG11327	CG5619	1
819	CG11327	CG6222	1
820	CG11327	CG6773	1
821	CG11327	CG7992	1
822	CG11327	CG9012	1
823	CG11334	CG13389	1
824	CG11334	CG1871	1
825	CG11337	CG1391	1
826	CG11337	CG31121	1
827	CG11340	CG3771	1
828	CG11347	CG11876	1
829	CG11347	CG32672	1
830	CG11347	CG3314	1
831	CG11347	CG5792	1
832	CG11349	CG11881	1
833	CG11349	CG13742	1
834	CG1135	CG13287	1
835	CG1135	CG13458	1
836	CG1135	CG13471	1
837	CG1135	CG15525	1
838	CG1135	CG15646	1
839	CG1135	CG16734	1
840	CG1135	CG17377	1
841	CG1135	CG18004	1
842	CG1135	CG18041	1
843	CG1135	CG2023	1
844	CG1135	CG31036	1
845	CG1135	CG32447	1
846	CG1135	CG5303	1
847	CG1135	CG6707	1
848	CG1135	CG8965	1
849	CG1135	CG9306	1
850	CG1135	CG9331	1
851	CG1135	CG9911	1
852	CG1138	CG2774	1
853	CG11380	CG13138	1
854	CG11380	CG1478	1
855	CG11380	CG15737	1
856	CG11380	CG15865	1
857	CG11380	CG17896	1
858	CG11380	CG3075	1
859	CG11380	CG32016	1
860	CG11380	CG5147	1
861	CG11380	CG5529	1
862	CG11380	CG6137	1
863	CG11380	CG6779	1
864	CG11380	CG8058	1
865	CG11380	CG8086	1
866	CG11380	CG8363	1
867	CG11381	CG8981	1
868	CG11382	CG1598	1
869	CG11397	CG1968	1
870	CG11409	CG12292	1
871	CG11409	CG33056	1
872	CG11419	CG13090	1
873	CG11420	CG5121	1
874	CG11427	CG14098	1
875	CG11427	CG14870	1
876	CG11427	CG15154	1
877	CG11427	CG3508	1
878	CG11427	CG3919	1
879	CG11427	CG4454	1
880	CG11427	CG4617	1
881	CG11427	CG5170	1
882	CG11427	CG7945	1
883	CG11427	CG8669	1
884	CG11427	CG9535	1
885	CG11448	CG13843	1
886	CG11448	CG8383	1
887	CG11451	CG13326	1
888	CG11482	CG13379	1
889	CG11486	CG11498	1
890	CG11486	CG12548	1
891	CG11486	CG1307	1
892	CG11486	CG13090	1
893	CG11486	CG14226	1
894	CG11486	CG1478	1
895	CG11486	CG15124	1
896	CG11486	CG1871	1
897	CG11486	CG3981	1
898	CG11486	CG4303	1
899	CG11486	CG5461	1
900	CG11486	CG6337	1
901	CG11486	CG7392	1
902	CG11486	CG7600	1
903	CG11486	CG7849	1
904	CG11486	CG8023	1
905	CG11486	CG8232	1
906	CG11486	CG8322	1
907	CG11486	CG9986	1
908	CG11495	CG13022	1
909	CG11501	CG17358	1
910	CG11522	CG13576	1
911	CG11522	CG7202	1
912	CG11523	CG30122	1
913	CG11523	CG31232	1
914	CG11523	CG6428	1
915	CG11523	CG9791	1
916	CG11525	CG1435	1
917	CG11525	CG1475	1
918	CG11525	CG14792	1
919	CG11525	CG15753	1
920	CG11525	CG31961	1
921	CG11525	CG3552	1
922	CG11525	CG3929	1
923	CG11525	CG4365	1
924	CG11525	CG4533	1
925	CG11525	CG4980	1
926	CG11525	CG5151	1
927	CG11525	CG8470	1
928	CG11539	CG1395	1
929	CG11539	CG1620	1
930	CG11539	CG33214	1
931	CG11539	CG5685	1
932	CG11539	CG6519	1
933	CG11561	CG2986	1
934	CG11577	CG13662	1
935	CG11579	CG16719	1
936	CG11579	CG4771	1
937	CG11579	CG9541	1
938	CG11594	CG3662	1
939	CG11596	CG1641	1
940	CG11596	CG8171	1
941	CG11606	CG1975	1
942	CG11614	CG2227	1
943	CG1163	CG2091	1
944	CG11638	CG8840	1
945	CG11642	CG1417	1
946	CG11642	CG17521	1
947	CG11642	CG4863	1
948	CG11642	CG5748	1
949	CG11642	CG6141	1
950	CG11648	CG13728	1
951	CG11648	CG1486	1
952	CG11648	CG33207	1
953	CG11648	CG6932	1
954	CG11648	CG8825	1
955	CG11652	CG15308	1
956	CG11652	CG7265	1
957	CG11656	CG11711	1
958	CG11656	CG13083	1
959	CG11656	CG13656	1
960	CG11656	CG13867	1
961	CG11656	CG15071	1
962	CG11656	CG16826	1
963	CG11656	CG17564	1
964	CG11656	CG31196	1
965	CG11656	CG31357	1
966	CG11656	CG3810	1
967	CG11656	CG4747	1
968	CG11656	CG5026	1
969	CG11656	CG5857	1
970	CG11656	CG6058	1
971	CG11656	CG6398	1
972	CG11656	CG6416	1
973	CG11656	CG6845	1
974	CG11656	CG9113	1
975	CG11672	CG13142	1
976	CG11672	CG15224	1
977	CG11672	CG1810	1
978	CG11672	CG1851	1
979	CG11672	CG18812	1
980	CG11672	CG2665	1
981	CG11672	CG32230	1
982	CG11672	CG3922	1
983	CG11672	CG5057	1
984	CG11672	CG6141	1
985	CG11672	CG6159	1
986	CG11672	CG6238	1
987	CG11672	CG6680	1
988	CG11672	CG7007	1
989	CG11672	CG7851	1
990	CG11672	CG9291	1
991	CG11679	CG7757	1
992	CG1168	CG13379	1
993	CG1168	CG15109	1
994	CG1168	CG4303	1
995	CG1168	CG6147	1
996	CG1168	CG8725	1
997	CG1168	CG9102	1
998	CG11693	CG12985	1
