ID	Protein
284	336
285	14
286	337
287	85
288	132
289	239
290	240
291	287
292	338
293	41
294	339
295	340
296	341
297	342
298	343
299	344
300	345
301	346
302	347
303	348
304	24
305	349
306	350
307	351
308	352
309	353
310	354
311	103
312	355
313	145
314	356
315	357
316	358
317	359
318	360
319	90
320	361
321	3
322	362
323	363
324	364
325	365
326	366
327	367
328	237
329	368
330	369
331	371
332	372
333	373
334	374
335	375
336	376
337	43
338	377
339	208
340	379
341	380
342	212
343	383
344	384
345	154
346	385
347	386
348	387
349	388
350	389
351	390
352	391
353	392
354	393
355	394
356	395
357	397
358	155
359	398
360	27
361	399
362	94
363	400
364	401
365	402
366	143
367	403
368	185
369	293
370	404
371	406
372	407
373	408
374	46
375	409
376	382
377	410
378	411
379	412
380	413
381	194
382	414
383	166
384	415
385	245
386	254
387	271
388	396
389	416
390	36
391	418
392	113
393	197
394	306
395	419
396	420
397	421
398	424
399	117
400	138
401	157
402	288
403	381
404	405
405	417
406	425
407	426
408	127
409	427
410	428
411	429
412	430
413	431
414	432
415	433
416	434
417	435
418	292
419	436
420	149
421	282
422	283
423	378
424	437
425	438
426	439
427	440
428	441
429	442
430	443
431	295
432	444
433	446
434	447
435	448
436	449
437	450
438	451
439	452
440	453
441	454
442	455
443	456
444	457
445	458
446	459
447	460
448	461
449	462
450	463
451	445
452	464
453	465
454	467
455	468
456	469
457	470
458	471
459	472
460	473
461	474
462	466
463	475
464	477
465	478
466	479
467	480
468	481
469	482
470	483
471	484
472	485
473	486
474	487
475	488
476	489
477	490
478	491
479	492
480	493
481	494
482	495
483	496
484	497
485	498
486	499
487	500
488	501
489	502
490	503
491	504
492	505
493	506
494	507
495	508
496	509
497	510
498	511
499	512
500	513
501	514
502	515
503	516
504	517
505	518
506	519
507	520
508	521
509	522
510	523
511	524
512	525
513	526
514	527
515	528
516	529
517	530
518	531
519	532
520	533
521	534
522	535
523	536
524	537
525	538
526	539
527	540
528	541
529	542
530	543
531	544
532	545
533	546
534	547
535	548
536	549
537	550
538	551
539	552
540	553
541	554
542	555
543	556
544	557
545	558
546	559
547	560
548	561
549	562
550	563
551	564
552	565
553	566
554	567
555	568
556	569
557	570
558	571
559	572
560	573
561	574
562	575
563	576
564	577
565	578
566	579
567	580
568	581
569	582
570	583
571	584
572	585
573	586
574	587
575	588
576	589
577	590
578	591
579	592
580	593
581	594
582	595
583	596
584	597
585	598
586	599
587	600
588	601
589	602
590	603
591	604
592	605
593	606
594	607
595	608
596	609
597	610
598	611
599	612
600	613
601	614
602	615
603	616
604	617
605	618
606	619
607	620
608	621
609	622
610	623
611	624
612	625
613	626
614	627
615	628
616	629
617	630
618	631
619	632
620	633
621	634
622	635
623	636
624	637
625	638
626	639
627	640
628	641
629	642
630	643
631	644
632	645
633	646
634	647
635	648
636	649
637	650
638	651
639	652
640	654
641	653
642	655
643	656
644	657
645	658
646	659
647	660
648	661
649	662
650	663
651	664
652	665
653	666
654	667
655	668
656	671
657	672
658	669
659	673
660	674
661	675
662	676
663	677
664	678
665	679
666	680
667	681
668	682
669	683
670	684
671	685
672	686
673	687
674	688
675	689
676	690
677	691
678	692
679	693
680	694
681	695
682	696
683	697
684	698
685	699
686	700
687	701
688	702
689	703
690	670
691	704
692	705
693	706
694	707
695	708
696	709
697	710
698	711
699	712
700	713
701	714
702	715
703	716
704	717
705	718
706	719
707	720
708	721
709	722
710	723
711	724
712	725
713	726
714	727
715	728
716	729
717	730
718	731
719	732
720	733
721	734
722	735
723	736
724	738
725	737
726	739
727	740
728	741
729	742
730	743
731	744
732	745
733	746
734	747
735	748
736	749
737	750
738	751
739	752
740	753
741	754
742	755
743	756
744	757
745	758
746	759
747	760
748	761
749	762
750	763
751	764
752	765
753	766
754	767
755	768
756	769
757	770
758	771
759	772
760	773
761	774
762	775
763	776
764	777
765	778
766	779
767	780
768	781
769	782
770	783
771	784
772	785
773	786
774	787
775	788
776	789
777	790
778	791
779	792
780	793
781	794
782	795
783	796
784	797
785	798
786	799
787	800
788	801
789	803
790	802
791	804
792	805
793	806
794	807
795	808
796	809
797	811
798	810
799	812
800	813
801	814
802	815
803	816
804	817
805	818
806	819
807	820
808	821
809	822
810	823
811	824
812	825
813	826
814	827
815	829
816	830
817	831
818	476
819	832
820	828
821	833
822	834
823	835
824	836
825	837
826	838
827	839
828	840
829	841
830	842
831	210
832	12
833	32
834	209
835	370
836	99
837	279
838	422
