ID	Protein
129	NP_071933.2
130	NP_006386.1
131	NP_055217.2
132	NP_056347.1
133	NP_055191.2
134	NP_995314.1
135	NP_000356.1
136	NP_660198.1
137	NP_003202.3
138	NP_057213.2
139	NP_006839.2
140	NP_059523.1
141	NP_068751.4
142	NP_000631.1
143	NP_000580.1
144	NP_000073.1
145	NP_001914.3
146	NP_002148.1
147	NP_002147.2
148	NP_004856.1
149	NP_004483.1
150	AAA59925.1
151	NP_000475.1
152	NP_005220.1
153	NP_000336.1
154	NP_056465.2
155	NP_061132.2
156	NP_001612.1
157	NP_006531.1
158	NP_005094.1
159	NP_114064.1
160	NP_006863.2
161	NP_006704.2
162	NP_000578.2
163	NP_001726.2
164	NP_009204.1
165	NP_000244.1
166	NP_000375.2
167	NP_000966.2
168	NP_002383.2
169	NP_001026859.1
170	NP_006035.2
171	NP_006861.1
172	NP_001031.2
173	NP_788276.1
174	NP_003876.1
175	NP_005327.1
176	NP_001348.2
177	NP_002790.1
178	NP_036377.1
179	NP_056468.1
180	NP_598399.1
181	NP_071757.2
182	NP_004827.4
183	NP_002937.1
184	NP_004517.2
185	NP_000315.1
186	NP_002091.2
187	NP_002261.3
188	NP_005076.3
189	NP_665860.1
190	NP_071731.1
191	NP_004032.2
192	NP_061833.1
193	NP_002125.3
194	NP_006824.2
195	NP_004759.1
196	NP_009210.1
197	NP_004119.1
198	NP_003073.1
199	NP_003075.1
200	NP_006749.1
201	NP_001059.2
202	NP_005556.1
203	NP_037446.1
204	NP_003854.1
205	NP_002632.1
206	NP_000029.2
207	NP_003602.1
208	NP_061960.1
209	NP_068597.2
210	NP_066267.2
211	NP_950238.1
212	NP_001960.2
213	NP_000841.1
214	NP_009103.2
215	NP_004055.1
216	NP_078919.2
217	NP_004437.2
218	NP_002878.2
219	NP_001006668.1
220	NP_036286.2
221	NP_803187.1
222	NP_683877.1
223	NP_001003677.1
224	NP_036520.1
225	NP_115498.2
226	NP_055768.2
227	NP_789839.1
228	NP_001810.1
229	NP_055048.1
230	NP_061978.5
231	NP_001020537.2
232	NP_001427.2
233	NP_003945.2
234	NP_001009944.1
235	NP_001894.2
236	NP_004403.1
237	NP_065147.1
238	NP_003950.1
239	NP_009027.1
240	NP_002892.1
241	NP_000362.1
242	NP_006181.1
243	NP_068741.1
244	NP_054890.1
245	NP_004078.2
246	NP_653086.1
247	NP_062565.2
248	NP_006640.2
249	NP_060853.3
250	NP_006092.1
251	NP_919307.1
252	NP_001013.1
253	NP_001512.1
254	NP_004255.2
255	NP_057144.1
256	NP_008982.1
257	NP_078951.2
258	NP_060676.2
259	NP_003090.2
260	NP_446464.1
261	NP_115580.2
262	AAA52539.1
263	NP_000588.2
264	NP_057326.2
265	NP_060277.1
266	NP_690605.1
267	NP_006169.1
268	NP_001551.1
269	NP_077817.2
270	NP_612815.1
271	NP_000385.1
272	NP_714941.1
273	NP_055986.1
274	NP_008937.1
275	NP_005246.1
276	NP_003706.1
277	NP_001020262.1
278	NP_852133.1
279	NP_115557.1
280	NP_647593.1
281	NP_115516.1
282	NP_006557.1
283	NP_006496.2
284	NP_055103.3
285	NP_003989.2
286	NP_057632.2
287	NP_006393.2
288	NP_478102.1
289	NP_001002.1
290	NP_065116.2
291	NP_068749.3
292	NP_001230.1
293	NP_061874.3
294	NP_004630.2
295	NP_076422.1
296	NP_000917.3
297	NP_005582.1
298	NP_001460.1
299	NP_000408.1
300	NP_000869.1
301	NP_060780.2
302	NP_003077.2
303	NP_065908.1
304	NP_009190.2
305	NP_000098.1
306	AAH53553.1
307	NP_001028229.1
308	NP_005602.2
309	NP_001078923.1
310	NP_006457.2
311	NP_542397.1
312	NP_115496.2
313	NP_004291.1
314	NP_733796.2
315	NP_001001683.1
316	NP_001001651.1
317	NP_001034679.2
318	NP_060589.1
319	NP_001713.2
320	NP_001027024.3
321	NP_002175.2
322	NP_000556.1
323	NP_002862.2
324	NP_006452.3
325	NP_077721.1
326	NP_037386.1
327	NP_598395.1
328	NP_005585.1
329	NP_006294.2
330	NP_001505.1
331	NP_002490.1
332	NP_006172.1
333	NP_056536.2
334	NP_056280.1
335	NP_116021.2
336	NP_057291.1
337	NP_005783.2
338	NP_002573.1
339	NP_891555.2
340	NP_391987.1
341	NP_060279.2
342	NP_065095.2
343	NP_078805.3
344	NP_001012300.1
345	NP_085136.1
346	NP_002301.1
347	NP_006087.2
348	NP_004850.1
349	NP_078983.1
350	NP_079051.9
351	NP_003234.2
352	NP_002182.1
353	NP_001019.1
354	NP_055668.2
355	NP_000030.1
356	NP_056453.1
357	NP_001056.1
358	NP_004095.4
359	NP_002758.1
360	NP_775898.2
361	NP_005403.2
362	NP_001035147.1
363	NP_004516.2
364	NP_056075.1
365	NP_003541.2
366	NP_002583.1
367	NP_002907.1
368	NP_001744.2
369	NP_060372.2
370	NP_001092903.1
371	NP_001461.1
372	NP_006753.1
373	NP_055779.1
374	NP_001307.2
375	NP_000974.1
376	NP_061938.2
377	NP_000544.2
378	NP_006221.1
379	AAH20590.1
380	NP_000012.1
381	NP_001203.1
382	NP_776170.2
383	NP_958437.1
384	NP_005878.1
385	NP_000816.3
386	NP_000397.1
387	NP_005709.1
388	NP_945327.1
389	NP_006182.2
390	NP_775816.1
391	NP_002303.2
392	NP_000225.1
393	NP_002459.1
394	NP_004075.1
395	NP_002613.2
396	NP_055202.1
397	NP_003655.3
398	NP_001478.1
399	NP_004585.1
400	NP_004476.1
401	NP_057278.2
402	NP_002176.2
403	NP_000871.1
404	NP_001390.1
405	NP_005451.2
406	NP_002936.1
407	NP_003935.2
408	NP_005649.1
409	NP_068779.1
410	NP_277038.1
411	NP_057250.1
412	NP_003493.1
413	AAQ86961.1
414	NP_005251.1
415	NP_066981.2
416	NP_071767.3
417	NP_004949.1
418	NP_002256.2
419	NP_006258.2
420	NP_055839.2
421	NP_009166.2
422	NP_009164.1
423	NP_006040.1
424	CAA45056.1
425	AAH71758.1
426	NP_003664.1
427	NP_005250.1
428	NP_001010844.1
429	NP_001560.2
430	NP_001146.2
431	NP_055547.1
432	NP_291025.3
433	NP_937879.1
434	NP_031379.2
435	NP_002364.5
436	NP_054902.1
437	NP_078791.2
438	NP_002481.2
439	NP_057483.1
440	NP_863651.1
441	NP_005710.1
442	NP_115648.2
443	NP_000307.1
444	NP_758844.1
445	NP_056146.1
446	NP_003797.1
447	NP_071412.2
448	NP_009109.3
449	NP_000884.1
450	NP_005159.1
451	NP_001025226.1
452	NP_001743.1
453	NP_112218.2
454	NP_056284.1
455	NP_004560.1
456	NP_065854.3
457	NP_056202.2
458	NP_003043.2
459	NP_055927.2
460	NP_000020.1
461	NP_005379.3
462	NP_110379.2
463	NP_060836.1
464	NP_060458.3
465	NP_004956.5
466	NP_057508.2
467	NP_127492.1
468	NP_659497.1
469	NP_071319.2
470	NP_444284.1
471	NP_001508.1
472	NP_005504.2
473	NP_004327.1
474	NP_003601.1
475	NP_006371.2
476	NP_055984.1
477	NP_005808.2
478	NP_005828.1
479	NP_009104.1
480	NP_872418.1
481	NP_001014809.1
482	AAQ62859.1
483	NP_579917.1
484	NP_733762.2
485	NP_004110.2
486	NP_005909.2
487	NP_002071.2
488	NP_006236.1
489	NP_859050.1
490	NP_055029.1
491	NP_055500.1
492	NP_066950.1
493	NP_004823.1
494	NP_001776.1
495	NP_835461.1
496	NP_001864.1
497	NP_000720.1
498	NP_932170.1
499	NP_057466.1
500	NP_002564.1
501	NP_116120.1
502	NP_000481.2
503	NP_114406.1
504	NP_075568.1
505	NP_015566.1
506	NP_955450.2
507	NP_001035022.1
508	NP_003128.3
509	NP_671700.1
510	NP_002727.2
511	NP_005410.1
512	NP_000620.2
513	NP_001002755.1
514	NP_005661.1
515	NP_000065.1
516	AAH73779.1
517	NP_002094.2
518	NP_004121.2
519	NP_004721.1
520	NP_060564.2
521	NP_003855.1
522	NP_036231.1
523	NP_000177.2
524	NP_001115.1
525	NP_055097.1
526	NP_057175.1
527	NP_001559.1
528	NP_002185.1
529	NP_056082.2
530	NP_002352.1
531	NP_997647.1
532	NP_477097.1
533	NP_036290.1
534	NP_057021.2
535	NP_005473.1
536	NP_006157.1
537	NP_006433.2
538	NP_001072993.1
539	NP_079175.2
540	NP_002072.1
541	NP_002719.3
542	NP_036347.1
543	NP_065862.1
544	NP_004229.1
545	NP_000591.1
546	CAA29800.1
547	NP_004130.2
548	NP_002300.1
549	NP_443103.1
550	NP_008958.1
551	NP_002717.3
552	NP_006174.1
553	NP_055981.1
554	NP_003286.1
555	NP_059830.1
556	NP_008860.4
557	NP_006345.1
558	NP_112574.3
559	NP_004620.1
560	NP_000127.2
561	NP_751892.1
562	NP_002680.2
563	NP_061825.2
564	NP_005307.1
565	NP_127497.1
566	NP_056425.1
567	NP_003249.1
568	NP_009107.1
569	NP_001007554.1
570	NP_002559.2
571	NP_653164.2
572	AAH07654.1
573	NP_006339.2
574	NP_000234.1
575	CAA68744.1
576	NP_079331.3
577	NP_000964.1
578	NP_001021.1
579	NP_067027.1
580	NP_037433.2
581	NP_000576.1
582	NP_000197.1
583	NP_057668.1
584	NP_005526.1
585	NP_004595.2
586	NP_000539.2
587	NP_116296.1
588	NP_002179.2
589	NP_060103.2
590	NP_004281.1
591	NP_001001973.1
592	NP_064528.1
593	NP_036565.2
594	NP_054829.2
595	NP_003682.2
596	NP_964011.2
597	NP_001009566.1
598	NP_065816.2
599	NP_000421.1
600	NP_004848.2
601	NP_003070.3
602	NP_036233.2
603	NP_004228.1
604	NP_055126.1
605	NP_002870.2
606	NP_000113.1
607	NP_005984.3
608	NP_758869.1
609	NP_056279.1
610	NP_001709.1
611	NP_065393.1
612	NP_060496.2
613	NP_000867.2
614	NP_000114.2
615	NP_055647.2
616	NP_057126.2
617	NP_003676.1
618	NP_060897.3
619	NP_005670.2
620	NP_055717.2
621	NP_663735.2
622	NP_004619.2
623	NP_077007.1
624	NP_003085.1
625	NP_004773.1
626	NP_054734.2
627	NP_945316.1
628	NP_005810.1
629	NP_002086.1
630	NP_001334.2
631	NP_003593.3
632	NP_001001433.1
633	NP_036453.1
634	NP_005520.4
635	NP_036234.3
636	NP_114060.1
637	NP_848928.1
638	NP_003178.1
639	NP_005325.2
640	NP_542382.1
641	NP_061730.1
642	NP_001003811.1
643	NP_061977.1
644	NP_071921.1
645	NP_001634.1
646	NP_004698.2
647	NP_055182.3
648	NP_057041.1
649	NP_689837.2
650	NP_003136.1
651	NP_003130.2
652	NP_057099.3
653	NP_003114.1
654	NP_075556.1
655	NP_203526.1
656	NP_067032.3
657	NP_003912.1
658	NP_006109.2
659	NP_619580.1
660	NP_075050.3
661	NP_001195.2
662	NP_938015.1
663	NP_001001557.1
664	NP_006027.2
665	NP_009194.2
666	NP_001091868.1
667	NP_002939.2
668	NP_000601.3
669	NP_000574.2
670	NP_055136.1
671	NP_065726.1
672	NP_006799.1
673	AAG30114.1
674	NP_067681.1
675	NP_003256.1
676	NP_001762.1
677	NP_000480.2
678	NP_149061.1
679	NP_001450.2
680	NP_000890.1
681	NP_000868.1
682	NP_061820.1
683	NP_002964.2
684	NP_054706.1
685	NP_077271.1
686	NP_005920.2
687	NP_004466.2
688	NP_003135.1
689	NP_005723.2
690	NP_008882.2
691	NP_003870.3
692	NP_005576.3
693	NP_003126.1
694	NP_003127.1
695	NP_689885.3
696	NP_055976.1
697	NP_000126.2
698	NP_073562.1
699	NP_055022.1
700	NP_001773.1
701	NP_004100.1
702	NP_006532.2
703	NP_002709.2
704	NP_699171.3
705	NP_000184.1
706	NP_001108.1
707	NP_060245.2
708	NP_004243.1
709	NP_036603.1
710	NP_001245.1
711	NP_009135.3
712	NP_002884.1
713	NP_005122.1
714	NP_057569.2
715	NP_006387.1
716	NP_077013.1
717	NP_001188.1
718	NP_001013861.1
719	NP_116119.2
720	NP_001223.2
721	NP_068773.2
722	NP_006550.1
723	NP_115830.1
724	NP_006222.2
725	NP_004259.3
726	NP_055816.2
727	NP_005340.2
728	NP_037498.1
729	NP_644815.1
730	NP_057670.1
731	NP_000982.2
732	NP_059347.2
733	NP_000468.1
734	NP_002799.3
735	NP_006818.3
736	NP_005568.2
737	NP_001804.2
738	NP_006810.1
739	NP_361014.1
740	NP_079086.1
741	NP_000277.1
742	NP_002848.1
743	NP_006686.1
744	NP_060328.1
745	NP_003911.1
746	NP_003274.2
747	NP_004587.1
748	NP_003801.1
749	NP_004829.2
750	BAC87492.1
751	NP_663634.2
752	NP_004834.1
753	NP_001050.1
754	NP_115927.1
755	NP_114034.1
756	NP_001014.1
757	NP_056201.2
758	NP_031383.1
759	NP_061336.1
760	NP_060158.1
761	NP_659491.4
762	NP_064577.1
763	NP_001073594.1
764	NP_009152.2
765	NP_060647.2
766	NP_065139.2
767	NP_055259.2
768	NP_079204.1
769	NP_065821.1
770	NP_009142.2
771	NP_689543.1
772	NP_000750.1
773	NP_724781.1
774	NP_000349.1
775	NP_036411.1
776	NP_036350.2
777	NP_003790.1
778	NP_003791.3
779	NP_000199.2
780	NP_003740.2
781	NP_003577.2
782	NP_003156.1
783	NP_036555.1
784	NP_003607.1
785	NP_000504.1
786	NP_777581.1
787	NP_055100.2
788	NP_003495.1
789	NP_002544.1
790	NP_076964.1
791	NP_057002.2
792	NP_036243.1
793	NP_057321.2
794	NP_055223.1
795	NP_569082.1
796	NP_000526.1
797	NP_000899.1
798	NP_006163.1
799	NP_006435.2
800	NP_005487.3
801	BAC05261.1
802	NP_079349.1
803	NP_006382.1
804	NP_060273.1
805	NP_000407.1
806	NP_001006611.1
807	NP_003170.1
808	NP_115867.1
809	NP_004796.1
810	NP_689969.2
811	NP_542416.1
812	NP_037423.2
813	NP_004720.1
814	NP_056232.2
815	NP_006822.1
816	NP_057492.2
817	NP_009214.1
818	NP_054740.2
819	NP_003138.3
820	NP_000146.2
821	NP_003692.1
822	NP_005787.1
823	NP_055656.1
824	NP_858058.1
825	NP_004806.3
826	NP_115686.3
827	NP_996919.1
828	NP_056473.1
829	NP_001246.2
830	NP_060315.1
831	NP_064527.1
832	CAD56889.1
833	NP_003250.2
834	NP_077001.1
835	NP_057253.2
836	NP_001008661.1
837	NP_055706.1
838	NP_002599.1
839	NP_057542.2
840	NP_689508.3
841	NP_001521.1
842	NP_542380.1
843	NP_002037.2
844	NP_004376.2
845	NP_057572.5
846	NP_076959.1
847	NP_775891.1
848	NP_003019.2
849	NP_004438.3
850	NP_904358.1
851	NP_000975.2
852	NP_612639.2
853	NP_112190.1
854	NP_892006.1
855	CAA27173.1
856	NP_004223.2
857	NP_112506.2
858	NP_997239.1
859	NP_004231.1
860	NP_001006635.1
861	NP_001335.1
862	NP_006830.1
863	NP_002262.3
864	NP_751918.1
865	NP_009133.2
866	NP_660305.2
867	NP_001091896.1
868	NP_000577.2
869	NP_006083.1
870	NP_002287.2
871	NP_002752.1
872	NP_067026.2
873	NP_056295.1
874	NP_008835.5
875	NP_001609.1
876	NP_009217.3
877	NP_055070.1
878	NP_055753.3
879	NP_005467.1
880	NP_060621.3
881	NP_072097.2
882	NP_004765.2
883	NP_001002909.1
884	NP_006281.1
885	NP_001007241.2
886	NP_000690.1
887	NP_009165.1
888	NP_006701.1
889	NP_005862.1
890	NP_002786.2
891	NP_886553.2
892	NP_003675.2
893	NP_000152.1
894	NP_060181.2
895	NP_982264.2
896	NP_715639.1
897	NP_055247.2
898	NP_055534.1
899	NP_000512.1
900	NP_008824.2
901	NP_055696.2
902	NP_001631.3
903	NP_079094.1
904	AAA35801.1
905	NP_036311.3
906	NP_004053.1
907	AAN62764.1
908	NP_003480.2
909	NP_620603.1
910	NP_005911.1
911	NP_055975.1
912	NP_001074305.1
913	NP_078808.3
914	NP_003479.1
915	NP_003317.1
916	NP_003318.1
917	NP_005622.1
918	NP_000255.2
919	NP_689738.3
920	NP_002403.1
921	NP_001880.2
922	NP_068809.1
923	NP_002687.1
924	NP_003064.2
925	NP_996744.1
926	NP_006375.1
927	NP_005438.2
928	NP_000910.2
929	NP_002697.1
930	NP_150638.1
931	NP_996670.1
932	NP_001822.2
933	NP_001129.1
934	NP_057446.1
935	NP_061168.2
936	NP_003450.2
937	NP_113584.3
938	NP_619525.1
939	NP_982261.2
940	NP_001025178.1
941	NP_075066.1
942	NP_006229.1
943	NP_055521.1
944	NP_004689.1
945	NP_054753.1
946	NP_898880.1
947	NP_000876.3
948	NP_001035919.1
949	NP_001001331.1
950	NP_071741.2
951	NP_004497.1
952	NP_904357.1
953	NP_543157.1
954	NP_597677.2
955	NP_006293.1
956	NP_892120.2
957	NP_001026913.1
958	NP_067061.1
959	NP_003125.2
960	NP_003124.1
961	NP_149095.2
962	NP_067058.1
963	NP_004876.1
964	NP_000896.1
965	NP_065071.1
966	NP_004730.2
967	NP_000115.1
968	NP_077021.1
969	NP_003650.1
970	NP_055051.1
971	NP_009108.1
972	NP_001275.1
973	NP_060116.2
974	NP_588612.1
975	AAH28049.1
976	NP_006564.1
977	NP_001183.2
978	NP_057137.1
979	NP_056077.1
980	NP_000220.1
981	NP_006816.2
982	NP_001921.1
983	NP_001961.1
984	NP_000154.1
985	NP_072051.1
986	CAA41990.1
987	NP_115754.2
988	NP_060791.3
989	NP_005755.1
990	NP_659451.1
991	NP_066970.2
992	NP_000652.2
993	NP_066547.1
994	NP_002681.1
995	NP_003884.1
996	NP_060921.3
997	NP_002277.3
998	NP_005685.1
999	NP_001226.2
1000	NP_006107.1
1001	NP_002222.1
1002	NP_057535.1
1003	NP_006792.1
1004	NP_036558.3
1005	NP_055731.2
1006	NP_006232.1
1007	NP_067068.1
1008	NP_009185.2
1009	NP_115568.2
1010	NP_006023.1
1011	NP_777283.1
1012	NP_115500.1
1013	NP_002421.3
1014	NP_060247.2
1015	NP_056076.1
1016	NP_060740.1
1017	NP_997468.1
1018	NP_004338.1
1019	NP_071356.1
1020	NP_115708.1
1021	NP_065812.1
1022	NP_001019801.2
1023	NP_005672.1
1024	NP_003216.1
1025	NP_872342.2
1026	NP_003835.2
1027	NP_065746.3
1028	NP_003189.1
1029	NP_000261.1
1030	NP_954986.2
1031	NP_005850.1
1032	NP_004260.2
1033	NP_596868.1
1034	NP_074036.1
1035	NP_777584.1
1036	NP_055399.1
1037	NP_071396.3
1038	NP_000726.1
1039	NP_005782.1
1040	NP_219484.1
1041	NP_689729.1
1042	NP_060298.2
1043	NP_000451.1
1044	NP_005364.1
1045	NP_938150.1
1046	NP_036367.2
1047	NP_006399.1
1048	NP_000629.3
1049	NP_000930.1
1050	NP_037394.2
1051	NP_004283.2
1052	NP_000161.2
1053	NP_004477.2
1054	NP_775832.1
1055	NP_055128.1
1056	NP_060745.3
1057	NP_006793.1
1058	NP_116196.3
1059	NP_060918.2
1060	NP_003579.3
1061	NP_061848.2
1062	NP_998820.1
1063	NP_631938.1
1064	NP_060926.2
1065	NP_037474.1
1066	NP_006597.2
1067	NP_573566.2
1068	NP_705582.1
1069	NP_076944.1
1070	NP_006131.2
1071	NP_000749.2
1072	NP_064532.1
1073	NP_003785.1
1074	NP_004441.1
1075	NP_000072.2
1076	NP_055150.1
1077	NP_001238.1
1078	NP_877428.1
1079	NP_003494.1
1080	BAA05892.1
1081	NP_003816.2
1082	NP_002531.3
1083	NP_002543.2
1084	NP_002328.1
1085	NP_997274.2
1086	O75916
1087	NP_060879.2
1088	NP_150593.1
1089	NP_658985.2
1090	NP_009048.1
1091	NP_057202.2
1092	NP_055151.3
1093	NP_055700.1
1094	NP_037415.1
1095	NP_005902.1
1096	NP_998786.1
1097	AAQ89335.1
1098	NP_055075.1
1099	BAA14006.1
1100	NP_055693.4
1101	NP_079023.2
1102	NP_612211.1
1103	NP_055293.1
1104	NP_001629.1
1105	NP_742150.1
1106	NP_000619.3
1107	NP_004354.2
1108	NP_065831.1
1109	NP_005641.1
1110	NP_277050.2
1111	NP_000360.2
1112	NP_596869.3
1113	NP_000963.1
1114	NP_068761.4
1115	NP_000279.1
1116	NP_000310.2
1117	NP_003886.2
1118	NP_006490.3
1119	NP_004520.1
1120	NP_542199.1
1121	NP_057374.3
1122	NP_201591.2
1123	NP_057322.1
1124	NP_003894.3
1125	AAL78298.1
1126	NP_004222.2
1127	P33316
1128	NP_003210.1
1129	NP_056258.1
1130	NP_001003.1
1131	NP_065104.1
1132	NP_000929.1
1133	NP_066951.1
1134	NP_060773.3
1135	NP_009208.2
1136	NP_071344.1
1137	NP_060559.2
1138	NP_079234.1
1139	NP_036252.1
1140	NP_000288.1
1141	NP_055268.1
1142	NP_003778.2
1143	NP_000221.1
1144	NP_036584.1
1145	NP_006511.1
1146	NP_060369.2
1147	NP_065857.1
1148	NP_005013.1
1149	NP_000350.1
1150	NP_002999.1
1151	NP_003929.4
1152	NP_002607.1
1153	NP_775960.4
1154	NP_001012410.1
1155	NP_055512.1
1156	NP_000611.1
1157	NP_000666.2
1158	NP_000013.2
1159	NP_036439.2
1160	NP_002177.2
1161	NP_068800.2
1162	NP_003997.1
1163	NP_009172.2
1164	NP_057159.2
1165	NP_000959.2
1166	NP_001506.1
1167	NP_036267.1
1168	NP_076423.2
1169	NP_079239.2
1170	NP_003621.1
1171	NP_005210.3
1172	NP_065777.1
1173	NP_715637.1
1174	NP_000308.1
1175	NP_065699.1
1176	NP_003732.2
1177	NP_036309.1
1178	NP_071923.2
1179	NP_057168.1
1180	NP_057703.1
1181	NP_002157.2
1182	NP_150592.1
1183	NP_001494.2
1184	NP_002516.1
1185	NP_001732.1
1186	NP_060708.1
1187	NP_076974.1
1188	NP_005671.1
1189	NP_004498.1
1190	NP_066566.3
1191	NP_000923.1
1192	NP_852610.1
1193	NP_955631.1
1194	NP_079456.2
1195	NP_004336.2
1196	AAC39889.1
1197	NP_689485.1
1198	NP_004313.1
1199	NP_001036249.1
1200	NP_612423.1
1201	NP_150091.2
1202	NP_004453.3
1203	NP_077310.1
1204	NP_036427.1
1205	NP_073599.2
1206	NP_002989.2
1207	NP_009041.2
1208	NP_001036111.1
1209	NP_055211.2
1210	NP_056176.2
1211	NP_001602.1
1212	NP_065845.1
1213	NP_001323.1
1214	NP_443107.1
1215	NP_004840.1
1216	NP_085097.3
1217	NP_003705.1
1218	NP_004199.1
1219	NP_006707.1
1220	NP_005994.1
1221	NP_001907.2
1222	NP_005046.2
1223	NP_001136.1
1224	NP_001174.2
1225	NP_037473.3
1226	NP_055800.2
1227	NP_036242.1
1228	NP_996895.1
1229	AAC39542.1
1230	NP_006444.2
1231	NP_005428.1
1232	NP_115553.2
1233	NP_062817.1
1234	NP_150282.1
1235	NP_004808.2
1236	NP_079107.5
1237	NP_689737.3
1238	NP_005756.2
1239	NP_000528.1
1240	NP_631906.2
1241	NP_065134.1
1242	NP_001770.1
1243	NP_057212.1
1244	NP_036546.2
1245	NP_066920.1
1246	NP_001315.1
1247	NP_001317.1
1248	NP_064583.1
1249	NP_003381.1
1250	NP_005420.1
1251	NP_002003.1
1252	NP_690601.1
1253	NP_444269.1
1254	NP_068577.1
1255	NP_004128.1
1256	NP_055494.2
1257	NP_002959.2
1258	NP_055227.1
1259	NP_004266.2
1260	NP_060383.2
1261	NP_001012750.1
1262	NP_073622.2
1263	NP_009193.2
1264	NP_653247.1
1265	CAA34971.1
1266	NP_000483.3
1267	NP_079522.2
1268	NP_085152.1
1269	NP_862820.1
1270	NP_000958.1
1271	NP_114434.3
1272	NP_036374.1
1273	NP_005761.2
1274	NP_000359.1
1275	NP_705838.3
1276	NP_640337.2
1277	NP_000997.1
1278	NP_001013654.1
1279	NP_068506.1
1280	NP_036379.2
1281	NP_055312.2
1282	NP_002183.1
1283	NP_004513.1
1284	NP_001207.1
1285	NP_000610.2
1286	NP_005525.2
1287	NP_004261.1
1288	NP_002290.2
1289	NP_976033.1
1290	NP_113670.1
1291	NP_005496.4
1292	NP_073593.2
1293	NP_055135.1
1294	NP_115805.1
1295	NP_006223.2
1296	NP_036526.2
1297	NP_002614.2
1298	NP_006165.1
1299	NP_002695.1
1300	NP_008952.1
1301	NP_006546.1
1302	NP_073153.1
1303	NP_001008701.1
1304	NP_002935.2
1305	NP_078821.2
1306	NP_057458.4
1307	NP_060469.4
1308	NP_057404.2
1309	NP_059345.1
1310	NP_996925.1
1311	NP_000343.2
1312	NP_060501.2
1313	NP_036253.2
1314	NP_254274.1
1315	NP_001524.2
1316	NP_056183.2
1317	NP_002553.2
1318	NP_055530.2
1319	NP_000825.1
1320	NP_444505.1
1321	NP_003348.1
1322	NP_115503.1
1323	NP_612402.1
1324	NP_006214.2
1325	NP_000166.2
1326	NP_066552.1
1327	NP_057040.2
1328	NP_005635.1
1329	AAB48030.1
1330	NP_005522.2
1331	NP_061872.2
1332	NP_006418.2
1333	NP_112594.1
1334	NP_954592.1
1335	NP_061933.1
1336	NP_000996.2
1337	NP_002511.1
1338	NP_005205.2
1339	NP_005182.1
1340	NP_001611.1
1341	NP_003174.3
1342	NP_000585.2
1343	NP_006729.4
1344	NP_001466.1
1345	NP_071916.2
1346	NP_443082.2
1347	NP_005209.1
1348	NP_001078.2
1349	NP_612193.1
1350	NP_002665.2
1351	NP_077748.2
1352	NP_001078868.1
1353	NP_005100.1
1354	NP_055055.1
1355	NP_056080.1
1356	NP_079164.1
1357	NP_002548.3
